Vardas         Pavarde        ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Egzaminas
Darius         Petraitis      2    4    10   7    9    2    10   6    3    1    10        
Tomas          Jonaitis       6    9    8    9    5    8    4    1    2    9    9         
Lukas          Kavolis        1    5    3    6    3    8    2    6    5    6    6         
Darius         Jankauskas     1    6    5    3    5    3    8    5    6    4    7         
Tomas          Kazlauskas     6    2    9    10   5    3    9    3    9    4    10        
Mantas         Jankauskas     6    3    6    8    8    7    2    7    10   4    9         
Paulius        Kazlauskas     7    3    9    2    6    2    5    8    10   2    5         
Tomas          Jankauskas     7    6    3    10   10   3    5    2    7    1    7         
Tomas          Petraitis      8    10   9    3    4    2    2    9    4    6    9         
Paulius        Petraitis      6    9    9    8    5    1    3    4    5    4    5         
Petras         Brazinskas     1    8    9    2    7    4    1    2    5    10   7         
Tomas          Kavaliauskas   6    3    5    7    9    1    5    2    9    10   2         
Paulius        Zukauskas      4    9    6    9    3    2    6    5    10   5    3         
Kazys          Petraitis      1    10   8    5    2    5    1    3    4    4    3         
Darius         Kavaliauskas   2    1    3    4    6    2    10   3    4    3    6         
Mantas         Kavolis        10   2    4    9    3    6    7    9    8    9    5         
Darius         Petraitis      5    1    1    3    1    10   4    1    5    8    9         
Kazys          Stankevicius   5    9    9    9    5    4    1    4    4    1    4         
Jonas          Brazinskas     7    4    2    1    4    10   3    5    7    7    9         
Tomas          Stankevicius   6    1    3    2    4    4    10   4    10   6    10        
Petras         Petraitis      1    1    4    9    9    9    3    3    2    9    1         
Tomas          Zukauskas      2    9    7    3    2    7    7    5    8    10   10        
Lukas          Kavolis        4    2    7    6    3    5    2    4    3    7    6         
Petras         Kavolis        5    5    3    7    4    8    6    8    6    1    8         
Paulius        Brazinskas     5    4    8    1    10   3    10   7    1    6    7         
Kazys          Jonaitis       10   10   8    1    2    9    1    2    2    4    6         
Petras         Kavolis        2    4    3    5    10   3    5    8    10   9    3         
Marius         Jankauskas     7    1    6    7    6    10   6    7    4    2    2         
Jonas          Stankevicius   3    10   4    10   7    5    3    10   9    3    3         
Tomas          Kavolis        8    10   4    4    1    2    8    10   5    10   9         
Tomas          Kavolis        3    10   1    9    1    7    4    10   1    8    4         
Marius         Stankevicius   1    4    1    5    9    2    9    1    7    9    10        
Marius         Kazlauskas     10   9    5    6    10   7    7    8    5    4    1         
Marius         Zukauskas      5    7    9    2    2    10   5    10   2    8    7         
Jonas          Petraitis      8    1    9    5    10   8    1    2    4    4    5         
Jonas          Kavolis        7    5    2    7    6    5    7    9    6    4    1         
Lukas          Jonaitis       7    7    2    2    9    9    2    4    1    2    8         
Darius         Petraitis      8    1    7    7    9    6    3    1    2    5    9         
Marius         Kavaliauskas   8    5    8    8    8    10   3    1    3    9    8         
Lukas          Brazinskas     1    6    9    9    9    1    3    4    7    10   5         
Marius         Petraitis      3    8    7    5    5    7    3    1    4    4    10        
Lukas          Stankevicius   3    2    10   2    1    4    4    9    7    7    2         
Paulius        Jonaitis       5    8    4    8    1    5    4    5    6    4    3         
Tomas          Zukauskas      6    4    8    3    5    1    4    2    6    2    5         
Paulius        Kavolis        3    5    2    5    8    10   4    10   7    9    4         
Marius         Petraitis      5    1    1    4    8    8    6    10   1    8    2         
Lukas          Petraitis      3    5    5    2    9    10   9    1    4    2    9         
Lukas          Kavaliauskas   8    5    5    10   7    7    6    7    10   4    4         
Lukas          Brazinskas     2    6    2    7    1    10   8    6    4    6    3         
Mantas         Jonaitis       9    3    4    4    2    8    10   4    7    5    7         
Jonas          Kavolis        8    9    5    1    5    7    6    2    1    4    5         
Jonas          Kazlauskas     1    3    1    7    10   9    10   1    2    5    7         
Marius         Brazinskas     10   1    9    6    9    3    8    5    6    4    6         
Mantas         Jankauskas     6    5    1    7    2    1    3    8    5    8    3         
Paulius        Brazinskas     4    4    2    2    9    2    5    1    10   3    6         
Petras         Zukauskas      8    3    6    7    7    4    2    9    6    8    10        
Darius         Kavaliauskas   3    1    1    2    5    8    4    5    4    9    3         
Tomas          Kazlauskas     4    5    4    2    10   3    7    9    1    6    2         
Mantas         Kazlauskas     10   5    2    8    9    3    4    8    4    10   9         
Lukas          Jankauskas     3    3    6    1    8    6    2    3    6    3    4         
Jonas          Jankauskas     4    4    1    5    2    10   3    2    3    9    9         
Tomas          Kavaliauskas   9    9    7    10   6    9    8    1    8    3    10        
Darius         Kavaliauskas   7    5    9    6    5    6    2    3    7    4    8         
Kazys          Jonaitis       7    2    1    3    2    10   1    4    2    8    4         
Darius         Jankauskas     5    9    1    2    2    1    1    7    5    5    6         
Marius         Stankevicius   2    7    1    3    8    4    6    5    9    7    8         
Kazys          Zukauskas      1    6    8    9    5    9    10   1    4    6    10        
Paulius        Petraitis      8    6    2    4    9    2    8    9    10   9    7         
Petras         Stankevicius   3    7    6    5    4    4    8    7    10   6    10        
Antanas        Kavaliauskas   10   10   9    3    4    4    6    8    8    4    2         
Darius         Kavolis        6    7    1    8    8    3    2    6    7    6    10        
Darius         Kavaliauskas   1    8    9    4    2    7    9    7    9    8    5         
Lukas          Kavaliauskas   1    8    3    4    2    2    1    9    2    7    7         
Paulius        Jonaitis       2    8    9    10   4    6    9    5    3    6    4         
Marius         Stankevicius   2    7    10   8    1    8    7    5    1    6    7         
Petras         Jonaitis       2    3    1    9    4    2    6    8    1    5    3         
Jonas          Brazinskas     6    6    4    6    10   7    4    2    3    9    8         
Mantas         Jankauskas     10   3    2    6    3    7    5    1    6    1    5         
Petras         Zukauskas      8    10   1    6    5    10   5    1    3    4    9         
Petras         Kazlauskas     2    3    8    10   4    1    1    2    7    7    6         
Antanas        Kavaliauskas   7    1    8    9    2    3    2    6    6    4    9         
Darius         Stankevicius   7    4    5    3    4    8    9    4    6    3    3         
Marius         Stankevicius   8    9    8    9    5    10   6    4    6    2    9         
Mantas         Zukauskas      3    7    10   4    8    9    4    2    10   4    5         
Tomas          Stankevicius   4    2    5    4    8    9    1    5    10   1    6         
Mantas         Kavolis        6    4    6    8    9    9    3    10   1    6    10        
Lukas          Zukauskas      7    5    2    8    5    3    1    7    4    7    10        
Darius         Kazlauskas     7    5    8    5    9    9    2    8    6    6    6         
Tomas          Zukauskas      5    2    1    6    10   4    1    10   5    7    1         
Mantas         Jonaitis       6    10   2    8    3    2    3    9    10   4    9         
Kazys          Brazinskas     5    4    1    8    8    8    7    7    4    6    4         
Petras         Kavolis        8    2    7    3    10   8    1    3    1    10   3         
Paulius        Stankevicius   7    7    1    1    6    7    6    8    7    6    5         
Mantas         Kazlauskas     7    4    10   6    5    8    3    4    9    8    1         
Paulius        Stankevicius   5    10   2    5    3    2    7    10   3    10   3         
Marius         Zukauskas      4    2    3    1    2    9    7    2    1    10   6         
Antanas        Jonaitis       9    6    9    2    8    6    1    4    9    2    5         
Petras         Zukauskas      5    5    4    2    7    7    4    6    5    6    1         
Darius         Brazinskas     3    5    5    2    4    5    3    9    1    3    7         
Antanas        Kazlauskas     9    5    9    4    10   10   1    7    2    9    9         
Antanas        Petraitis      4    5    9    9    7    7    3    7    9    10   10        
Jonas          Petraitis      8    10   10   6    4    9    5    5    8    9    7         
Antanas        Brazinskas     10   4    6    2    9    10   8    7    6    1    1         
Marius         Kavolis        4    4    5    3    10   7    10   8    10   3    10        
Darius         Petraitis      9    10   3    1    7    3    1    2    6    5    4         
Tomas          Petraitis      10   1    1    8    9    7    6    3    6    10   8         
Darius         Stankevicius   10   5    4    2    1    4    3    4    4    6    8         
Jonas          Petraitis      10   4    1    9    5    10   8    10   9    3    9         
Antanas        Jonaitis       8    4    10   3    7    10   1    8    8    7    7         
Jonas          Kavolis        9    3    6    4    9    10   2    4    7    6    3         
Lukas          Kazlauskas     8    6    4    2    6    9    2    5    3    10   5         
Antanas        Petraitis      6    8    9    5    1    8    6    9    7    9    4         
Darius         Jonaitis       2    5    6    1    3    3    9    7    7    8    10        
Kazys          Stankevicius   8    8    7    9    1    7    5    1    3    2    9         
Antanas        Petraitis      10   6    7    5    8    3    3    6    5    10   8         
Paulius        Jonaitis       10   3    7    8    3    3    8    9    1    9    5         
Darius         Zukauskas      7    7    8    5    8    10   1    10   9    5    9         
Antanas        Petraitis      1    4    10   4    10   10   6    8    8    4    2         
Antanas        Zukauskas      9    6    3    1    2    2    6    8    5    6    2         
Darius         Brazinskas     1    3    4    9    5    2    3    4    3    9    4         
Lukas          Brazinskas     8    8    6    7    9    7    1    1    1    6    10        
Petras         Kavaliauskas   4    9    5    10   5    4    10   9    1    1    8         
Petras         Petraitis      7    6    8    1    1    5    6    5    2    1    9         
Petras         Kavolis        2    7    4    3    3    9    6    4    6    1    8         
Kazys          Zukauskas      7    4    2    6    8    8    2    2    6    7    3         
Tomas          Kazlauskas     3    1    2    10   2    6    3    3    2    7    5         
Mantas         Stankevicius   10   1    10   2    10   10   8    1    2    3    7         
Mantas         Brazinskas     5    8    5    9    8    4    9    6    1    4    9         
Marius         Zukauskas      7    6    1    1    10   7    1    9    6    10   9         
Jonas          Kavolis        7    6    2    5    5    7    8    6    8    9    9         
Marius         Kavaliauskas   3    3    1    4    2    7    1    9    8    1    4         
Marius         Petraitis      3    2    1    4    4    4    1    10   3    10   5         
Lukas          Jankauskas     10   5    6    2    7    6    3    4    10   5    2         
Jonas          Stankevicius   2    10   9    9    3    4    9    1    6    5    10        
Jonas          Stankevicius   3    5    8    3    3    10   5    9    5    9    1         
Kazys          Brazinskas     3    2    6    4    8    5    8    7    3    10   4         
Antanas        Stankevicius   5    6    2    7    8    9    4    4    10   2    8         
Lukas          Petraitis      9    4    9    3    3    3    6    3    10   10   8         
Paulius        Kazlauskas     6    9    6    8    3    6    10   4    1    8    6         
Darius         Jankauskas     1    2    6    9    4    2    4    6    1    7    9         
Paulius        Petraitis      9    6    4    3    7    2    4    5    4    10   9         
Lukas          Jonaitis       4    3    10   7    10   9    2    2    7    4    7         
Jonas          Kavaliauskas   6    1    8    4    2    3    8    2    1    1    8         
Mantas         Jankauskas     5    6    3    5    3    8    5    10   7    7    8         
Jonas          Kavolis        1    4    3    2    2    6    10   3    6    3    6         
Jonas          Petraitis      10   6    4    3    5    3    8    4    4    9    10        
Kazys          Jonaitis       2    7    1    7    6    10   6    10   2    2    8         
Paulius        Kavaliauskas   9    4    3    1    10   1    7    10   2    3    9         
Marius         Kazlauskas     5    8    2    2    6    4    7    10   8    10   2         
Lukas          Zukauskas      1    8    3    5    7    4    3    2    9    7    6         
Marius         Jonaitis       2    5    10   7    10   2    10   3    7    1    10        
Kazys          Kavolis        4    10   10   9    3    4    7    7    4    7    1         
Antanas        Brazinskas     4    1    5    9    6    9    8    3    6    4    9         
Mantas         Kavaliauskas   6    1    7    10   2    9    6    1    4    4    4         
Paulius        Brazinskas     3    6    7    3    7    9    1    8    10   9    4         
Kazys          Kavolis        7    4    5    1    7    1    7    6    5    9    8         
Kazys          Jonaitis       1    5    6    7    7    1    7    9    1    2    7         
Darius         Kavolis        9    6    7    1    3    9    3    6    2    8    6         
Marius         Brazinskas     2    7    2    5    5    5    10   9    10   4    5         
Petras         Brazinskas     9    7    6    1    2    8    3    5    1    2    3         
Kazys          Jankauskas     8    8    7    4    2    4    7    3    6    5    7         
Mantas         Kavolis        3    6    10   2    9    2    9    6    6    9    7         
Paulius        Kavaliauskas   10   9    8    7    1    3    1    3    2    5    4         
Jonas          Kavolis        7    9    5    7    1    1    6    6    7    7    7         
Marius         Jonaitis       7    6    8    9    10   7    4    5    9    6    5         
Marius         Petraitis      10   10   2    5    5    4    3    5    2    6    1         
Marius         Stankevicius   5    3    3    9    6    4    9    5    3    2    1         
Darius         Kavaliauskas   1    7    3    3    7    9    9    8    3    9    2         
Petras         Jonaitis       3    5    4    3    2    7    4    5    4    8    1         
Kazys          Brazinskas     1    7    7    7    6    9    1    7    6    7    1         
Lukas          Zukauskas      8    4    6    9    7    5    7    9    7    7    2         
Lukas          Stankevicius   9    10   3    4    4    8    5    1    6    10   6         
Marius         Petraitis      7    8    10   8    1    9    5    7    2    10   7         
Darius         Stankevicius   9    4    4    10   8    2    2    3    4    9    10        
Marius         Jonaitis       1    4    1    6    8    5    3    5    9    7    10        
Paulius        Jankauskas     8    6    6    7    8    10   9    4    2    7    5         
Petras         Kazlauskas     10   8    5    6    5    6    3    1    6    1    1         
Kazys          Jankauskas     1    6    2    2    1    2    5    1    5    2    7         
Paulius        Kavaliauskas   10   2    9    4    2    2    8    6    9    10   1         
Antanas        Jankauskas     10   1    8    5    8    6    5    7    8    9    3         
Lukas          Stankevicius   2    4    9    2    10   10   6    5    6    8    5         
Darius         Petraitis      3    3    8    9    8    5    5    1    1    2    3         
Mantas         Zukauskas      5    1    10   1    9    3    1    2    8    10   4         
Tomas          Jankauskas     1    9    9    4    4    5    6    1    9    1    1         
Paulius        Jonaitis       4    10   7    1    2    8    7    9    10   3    5         
Kazys          Stankevicius   4    2    8    6    6    8    2    10   7    7    10        
Darius         Kazlauskas     1    3    1    1    2    2    8    4    3    6    7         
Paulius        Zukauskas      10   6    6    4    4    10   7    9    1    5    3         
Paulius        Kavaliauskas   5    7    7    2    4    8    6    3    10   5    10        
Darius         Kazlauskas     7    8    8    10   2    8    9    6    5    8    7         
Paulius        Kazlauskas     7    5    9    4    10   7    3    4    4    7    6         
Tomas          Zukauskas      2    10   8    10   10   9    4    5    1    10   6         
Tomas          Jonaitis       4    7    8    10   9    9    10   4    2    9    9         
Tomas          Jonaitis       8    9    1    5    9    1    4    9    1    8    3         
Marius         Jonaitis       7    2    7    3    1    2    4    3    9    8    1         
Lukas          Kazlauskas     1    1    1    6    2    4    2    7    7    1    5         
Darius         Kavolis        5    7    9    1    6    2    2    6    9    8    3         
Paulius        Kavaliauskas   2    5    5    10   2    8    10   8    6    4    1         
Darius         Jankauskas     4    3    8    5    10   9    2    7    2    4    8         
Antanas        Kazlauskas     3    2    6    9    6    7    1    3    5    8    4         
Antanas        Brazinskas     3    1    7    2    10   1    1    6    3    3    3         
Kazys          Petraitis      10   10   6    5    2    8    2    2    4    9    7         
Antanas        Petraitis      2    1    5    6    1    2    9    8    2    1    3         
Mantas         Jankauskas     8    10   4    1    9    5    8    6    7    6    4         
Kazys          Brazinskas     4    10   10   4    6    2    8    9    3    1    9         
Darius         Zukauskas      10   3    10   9    5    7    7    9    9    9    1         
Lukas          Kavolis        6    7    4    4    4    6    9    6    7    8    4         
Petras         Brazinskas     2    2    7    1    8    7    8    1    7    2    6         
Mantas         Brazinskas     5    10   5    10   9    7    2    8    3    2    10        
Antanas        Kavaliauskas   7    8    8    4    5    1    10   6    9    7    3         
Marius         Zukauskas      3    10   5    9    5    3    6    10   9    3    1         
Darius         Jankauskas     2    9    3    7    3    1    3    7    4    3    10        
Marius         Brazinskas     5    1    4    5    9    10   9    9    8    5    2         
Jonas          Zukauskas      3    3    8    8    6    10   5    6    8    3    2         
Petras         Zukauskas      1    1    7    8    4    6    4    2    10   3    3         
Marius         Stankevicius   7    2    4    9    4    10   4    6    9    10   8         
Tomas          Kazlauskas     9    8    7    5    10   4    8    7    10   2    7         
Kazys          Zukauskas      6    3    1    3    9    10   2    9    9    10   9         
Antanas        Brazinskas     2    4    3    9    3    7    7    4    10   9    7         
Mantas         Stankevicius   10   8    1    1    2    8    2    7    2    1    8         
Tomas          Kazlauskas     5    10   4    8    7    1    10   1    6    2    1         
Petras         Petraitis      5    10   10   5    5    1    4    1    2    3    1         
Darius         Jonaitis       5    2    10   3    1    1    5    3    10   9    10        
Jonas          Zukauskas      5    9    1    6    1    2    8    2    7    7    10        
Kazys          Kavolis        8    7    1    5    4    10   10   7    3    6    1         
Kazys          Zukauskas      3    8    2    8    3    8    8    5    3    6    10        
Lukas          Kavaliauskas   7    3    7    9    10   5    2    1    7    9    3         
Petras         Petraitis      8    9    4    1    2    9    1    9    5    1    7         
Mantas         Jankauskas     2    2    7    7    6    3    9    7    5    4    3         
Petras         Petraitis      9    7    8    2    3    9    1    6    4    8    2         
Jonas          Brazinskas     8    3    6    4    1    3    2    4    10   4    2         
Tomas          Jonaitis       6    6    8    7    8    5    8    6    8    8    10        
Mantas         Kavaliauskas   3    8    2    3    10   9    9    4    6    8    1         
Petras         Brazinskas     6    8    4    6    3    2    2    3    5    10   6         
Mantas         Brazinskas     2    7    1    1    3    8    6    7    4    5    3         
Tomas          Kavolis        10   1    6    1    10   4    9    10   9    10   4         
Petras         Stankevicius   10   10   8    4    7    3    9    7    9    3    7         
Jonas          Kazlauskas     1    3    7    4    1    10   8    1    5    7    9         
Tomas          Jonaitis       10   9    4    5    2    6    3    8    9    4    9         
Lukas          Petraitis      8    8    4    5    4    9    3    3    3    7    9         
Antanas        Stankevicius   7    8    10   7    9    7    3    4    6    2    7         
Kazys          Jonaitis       6    7    10   4    7    9    4    4    5    6    5         
Petras         Jankauskas     10   3    5    6    1    7    1    8    1    7    6         
Antanas        Kavaliauskas   10   8    2    7    8    2    1    2    10   10   4         
Lukas          Petraitis      3    1    3    4    4    4    5    7    8    7    2         
Kazys          Kavolis        8    4    7    10   2    8    1    5    1    8    8         
Antanas        Jonaitis       4    6    8    10   7    8    9    6    6    1    1         
Antanas        Jankauskas     5    6    3    3    3    8    1    8    10   7    4         
Paulius        Jankauskas     9    9    3    10   9    1    3    10   6    9    7         
Antanas        Jonaitis       1    4    9    2    1    5    1    8    6    2    5         
Paulius        Petraitis      2    2    5    8    4    6    10   2    3    6    9         
Kazys          Kavaliauskas   1    4    4    2    4    10   6    5    3    4    1         
Jonas          Petraitis      6    2    4    2    8    3    1    10   2    5    2         
Marius         Jonaitis       3    9    8    9    3    6    10   3    6    5    9         
Kazys          Kavolis        4    7    5    5    2    2    2    4    6    9    2         
Jonas          Kazlauskas     6    4    5    4    8    2    9    3    3    10   1         
Antanas        Petraitis      3    7    9    2    3    1    2    2    3    6    5         
Kazys          Brazinskas     6    7    8    6    8    10   6    10   4    9    10        
Lukas          Zukauskas      3    3    2    3    1    9    3    3    4    3    4         
Kazys          Stankevicius   2    6    6    2    8    5    7    9    4    7    2         
Antanas        Kavolis        6    3    4    2    7    4    3    7    1    10   3         
Kazys          Petraitis      1    10   10   3    10   10   1    3    7    6    9         
Tomas          Kavaliauskas   8    6    7    7    5    7    6    8    1    8    10        
Petras         Jonaitis       8    4    5    5    10   9    1    2    8    4    4         
Petras         Kavaliauskas   1    8    1    7    1    1    2    3    2    7    3         
Antanas        Kazlauskas     4    7    10   2    9    3    10   9    7    9    1         
Paulius        Kavaliauskas   3    7    6    5    3    10   4    8    4    10   5         
Kazys          Zukauskas      4    3    1    5    4    9    4    5    5    2    6         
Antanas        Petraitis      5    2    8    4    10   5    5    6    2    1    4         
Jonas          Kazlauskas     8    8    3    2    9    1    9    10   6    1    2         
Lukas          Zukauskas      1    3    6    5    1    2    10   7    7    9    7         
Antanas        Kavolis        8    1    1    4    4    7    1    7    1    2    6         
Marius         Brazinskas     1    1    3    2    6    2    6    7    10   5    1         
Darius         Kavaliauskas   3    3    1    7    1    10   5    9    9    1    2         
Lukas          Jankauskas     1    4    4    4    2    4    9    10   1    9    6         
Petras         Jankauskas     3    7    7    6    1    10   1    8    9    5    4         
Tomas          Stankevicius   10   6    10   4    9    2    7    5    8    1    9         
Marius         Zukauskas      10   5    4    5    10   10   4    8    2    7    4         
Tomas          Jonaitis       10   5    10   9    4    10   4    4    3    8    4         
Jonas          Kavaliauskas   10   2    4    4    2    5    6    3    2    4    3         
Antanas        Kavolis        9    3    5    9    4    9    5    1    2    2    9         
Petras         Zukauskas      2    3    9    8    4    3    9    6    3    9    6         
Paulius        Jankauskas     5    9    2    5    9    5    2    3    6    8    7         
Marius         Petraitis      5    1    8    9    8    3    1    5    4    7    6         
Mantas         Jankauskas     9    8    5    2    7    4    9    4    2    9    7         
Marius         Jonaitis       10   8    3    7    6    10   3    3    1    1    10        
Petras         Zukauskas      9    6    4    10   4    7    4    2    3    8    3         
Kazys          Kavolis        3    6    6    3    4    7    1    2    2    2    5         
Darius         Jankauskas     1    7    10   10   6    5    6    2    3    5    6         
Petras         Kazlauskas     2    2    1    2    10   5    2    6    9    2    3         
Lukas          Kavaliauskas   3    7    3    2    1    5    2    3    4    3    3         
Marius         Jankauskas     4    6    10   10   9    6    2    7    5    9    2         
Mantas         Jankauskas     1    9    7    4    8    3    4    9    1    9    1         
Tomas          Stankevicius   8    3    6    4    8    10   1    4    9    7    7         
Mantas         Petraitis      2    9    6    7    10   4    9    5    7    4    5         
Lukas          Jankauskas     6    10   7    9    6    7    8    10   6    8    2         
Marius         Brazinskas     3    5    4    8    3    5    9    9    7    10   8         
Lukas          Zukauskas      6    4    2    7    1    5    1    8    1    4    3         
Lukas          Stankevicius   4    10   2    8    5    2    4    6    9    7    4         
Lukas          Petraitis      10   5    2    8    4    5    9    4    4    8    10        
Jonas          Kazlauskas     3    1    9    7    9    4    2    10   6    7    1         
Tomas          Kavaliauskas   10   8    3    8    1    1    1    4    4    9    9         
Petras         Petraitis      3    6    6    1    3    2    9    5    2    8    3         
Jonas          Jonaitis       6    8    4    8    1    2    2    9    8    10   8         
Mantas         Stankevicius   8    5    4    2    2    10   9    6    3    4    2         
Kazys          Jonaitis       8    1    2    5    5    8    6    9    6    9    9         
Paulius        Stankevicius   8    8    10   1    4    9    4    8    7    2    3         
Lukas          Petraitis      2    2    8    10   3    2    4    1    3    2    6         
Petras         Jankauskas     4    7    8    10   9    4    3    6    5    9    10        
Antanas        Stankevicius   5    6    5    5    9    2    9    7    6    5    1         
Tomas          Jonaitis       5    3    1    10   10   1    8    10   9    7    9         
Darius         Brazinskas     9    2    1    6    4    10   9    5    3    3    5         
Jonas          Kavolis        8    7    6    7    3    8    1    7    2    9    2         
Tomas          Zukauskas      3    7    8    7    7    9    9    4    10   5    2         
Jonas          Brazinskas     2    6    5    4    7    3    8    9    5    9    6         
Darius         Kavolis        7    9    7    2    6    3    7    9    2    5    1         
Darius         Kazlauskas     7    6    7    6    7    1    9    10   5    2    3         
Marius         Kavolis        2    4    5    3    8    3    7    3    7    4    3         
Tomas          Jonaitis       5    6    1    6    2    5    1    8    1    10   5         
Darius         Brazinskas     5    8    2    6    2    2    8    5    5    1    10        
Darius         Kavaliauskas   4    8    8    6    6    3    10   6    6    7    10        
Lukas          Stankevicius   1    8    6    9    7    3    3    3    8    6    4         
Petras         Kazlauskas     3    10   6    5    10   5    10   6    2    9    5         
Marius         Kavaliauskas   10   5    6    2    3    10   10   5    2    1    6         
Kazys          Kazlauskas     3    7    6    4    10   2    7    7    2    8    2         
Mantas         Kavolis        4    2    9    7    10   10   2    6    7    3    1         
Mantas         Kazlauskas     10   5    10   6    6    1    6    9    9    10   4         
Mantas         Petraitis      5    4    8    10   3    10   6    4    4    8    3         
Tomas          Kavaliauskas   5    8    6    1    7    10   3    5    4    3    4         
Jonas          Brazinskas     5    5    1    4    5    6    5    10   9    5    2         
Lukas          Kavaliauskas   7    3    8    6    10   9    4    1    7    1    9         
Marius         Kazlauskas     10   8    1    9    5    9    6    5    3    4    9         
Jonas          Kazlauskas     4    4    6    4    4    3    4    6    4    8    8         
Lukas          Stankevicius   3    9    1    4    10   5    7    2    3    5    1         
Marius         Kazlauskas     1    3    8    8    2    9    2    8    7    2    8         
Petras         Brazinskas     9    1    7    4    6    6    4    4    6    6    8         
Antanas        Kavaliauskas   4    3    10   1    1    1    10   1    4    5    2         
Tomas          Zukauskas      10   1    4    4    9    1    10   8    2    7    2         
Antanas        Jonaitis       9    8    5    5    6    4    1    4    7    7    9         
Petras         Jankauskas     1    6    5    3    10   10   5    8    5    8    5         
Antanas        Petraitis      5    2    8    5    2    7    1    5    4    6    7         
Kazys          Petraitis      5    3    1    9    1    8    9    10   9    8    3         
Lukas          Kavolis        3    1    8    6    1    3    10   10   10   5    3         
Darius         Brazinskas     3    7    6    4    7    10   6    1    9    7    3         
Paulius        Kazlauskas     6    4    10   7    4    7    5    5    9    4    6         
Kazys          Jankauskas     5    8    6    2    6    1    2    4    8    6    10        
Jonas          Petraitis      5    2    10   5    10   9    9    9    9    10   7         
Jonas          Jankauskas     3    1    8    8    6    8    9    2    4    8    5         
Jonas          Kavaliauskas   10   5    8    9    4    7    3    4    4    10   10        
Antanas        Stankevicius   4    8    1    7    4    9    2    8    9    8    9         
Marius         Brazinskas     4    5    2    3    10   7    9    1    4    9    1         
Darius         Jonaitis       5    3    9    5    8    6    8    8    9    8    10        
Tomas          Brazinskas     1    6    3    9    1    9    9    10   4    9    7         
Kazys          Jankauskas     4    5    4    1    7    1    9    10   7    6    2         
Lukas          Kavolis        7    8    6    4    4    4    4    8    5    2    6         
Darius         Petraitis      3    6    5    1    1    7    9    1    8    7    9         
Jonas          Zukauskas      2    5    1    5    3    1    5    1    2    3    8         
Darius         Stankevicius   5    9    4    8    8    9    10   5    6    6    4         
Lukas          Kazlauskas     9    3    9    3    5    7    5    10   6    3    7         
Petras         Jonaitis       4    3    9    6    2    3    7    6    5    9    4         
Jonas          Brazinskas     7    8    10   5    2    8    6    5    7    10   5         
Jonas          Zukauskas      6    4    6    7    3    8    1    3    5    5    6         
Paulius        Stankevicius   4    1    7    7    1    4    10   5    10   4    6         
Kazys          Petraitis      8    3    7    9    2    1    8    2    6    3    7         
Antanas        Zukauskas      8    3    8    2    5    1    8    5    8    5    9         
Jonas          Jankauskas     4    1    9    7    1    10   4    1    1    10   3         
Lukas          Kazlauskas     3    1    2    6    5    9    1    4    5    5    4         
Darius         Petraitis      1    8    5    8    4    2    10   4    10   4    8         
Kazys          Kavaliauskas   9    5    3    2    5    2    3    7    7    7    10        
Darius         Brazinskas     8    3    4    7    5    3    1    3    1    1    8         
Lukas          Kavaliauskas   10   7    1    6    3    9    5    9    7    5    2         
Kazys          Kavolis        9    6    8    10   8    3    4    1    7    9    5         
Tomas          Kavolis        6    10   8    5    9    5    5    8    5    7    8         
Marius         Kavaliauskas   10   2    2    8    2    6    3    1    4    6    9         
Tomas          Jankauskas     1    9    8    3    7    1    8    8    5    8    10        
Marius         Brazinskas     8    6    4    8    5    5    7    4    3    7    3         
Tomas          Petraitis      2    2    7    8    8    4    5    2    8    1    5         
Mantas         Petraitis      4    9    1    6    1    1    1    6    1    7    7         
Marius         Kazlauskas     8    10   2    10   8    9    1    4    1    6    6         
Petras         Petraitis      6    6    4    10   1    6    3    1    9    8    4         
Tomas          Brazinskas     6    5    7    1    4    7    5    9    5    6    2         
Petras         Petraitis      5    5    7    2    8    3    3    7    2    7    4         
Paulius        Petraitis      6    1    3    1    8    10   10   8    4    9    6         
Darius         Kavaliauskas   3    1    3    6    1    3    5    10   7    8    7         
Mantas         Kazlauskas     9    10   3    2    1    10   9    1    1    1    8         
Paulius        Kazlauskas     1    8    7    6    1    7    10   6    10   3    7         
Jonas          Kavolis        8    2    6    5    5    10   10   8    5    8    4         
Jonas          Brazinskas     2    2    1    3    5    10   7    3    1    7    3         
Paulius        Zukauskas      10   8    1    5    5    3    8    2    1    1    1         
Lukas          Kazlauskas     7    5    9    2    2    7    4    6    10   1    3         
Jonas          Kavolis        6    2    8    7    3    7    4    10   6    5    4         
Darius         Brazinskas     10   4    8    3    8    5    4    7    3    5    3         
Antanas        Kavaliauskas   2    5    2    3    2    7    6    6    9    7    2         
Kazys          Petraitis      9    8    6    6    7    3    2    3    7    4    4         
Paulius        Petraitis      1    4    3    1    3    2    4    2    9    1    9         
Kazys          Jankauskas     9    10   2    9    8    10   7    4    8    1    1         
Mantas         Jonaitis       8    7    5    4    6    3    5    6    8    10   9         
Antanas        Jankauskas     4    6    1    6    10   6    9    5    1    6    8         
Marius         Petraitis      9    1    2    9    3    7    7    5    2    10   5         
Paulius        Brazinskas     9    10   7    10   10   1    5    7    5    1    1         
Darius         Jonaitis       10   3    1    3    7    5    4    3    5    10   4         
